Plot_ID,Stand_ID,Species,Age,Elevation,TOPEX,Aspect,Slope,Basal Area,Stocking,MTH,FCOVER,Distance Seed Source,Total Species,Native Species,Exotic Species,Total IV,Native IV,Exotic IV,Regen IV,Seedling Species,Fleshy IV,Not Fleshy IV,Tree IV,Shrub IV,Fern IV,Herb IV,Liane IV
PRWAKA11,WAKA,PINRAD,51,700,1266.3,N,25.2,127.6,200,42.2,44.9,18.4,10,10,0,3.55,3.55,0,0,6,3.15,0.4,3.43,0,0.06,0.06,0
PRWAKA12,WAKA,PINRAD,51,668,1236.8,SE,34.9,123.1,260,40.7,28.7,64.8,13,13,0,6.81,6.81,0,0,9,4.27,2.54,6.69,0,0.06,0.06,0
PRWAKA13,WAKA,PINRAD,51,622,1164,W,34.1,98.6,220,40.6,49.3,78.8,10,10,0,5.88,5.88,0,0,7,2.86,3.02,4.42,0,0.28,1.18,0
PRWAKA14,WAKA,PINRAD,51,662,1130.2,SE,35.9,84.1,160,39.3,67.3,8.3,15,15,0,14.2,14.2,0,0,7,9.65,4.55,10.43,0.85,1.79,1.13,0
PRWAKA15,WAKA,PINRAD,51,618,1135.1,S,36.5,104.3,240,39.8,46,20.6,11,11,0,11.1,11.06,0,0,8,8.51,2.54,10.72,0,0.28,0.06,0
PMLIZA1,LIZA,PSEMEN,40,785,1290,SE,8.9,54.5,1280,14.50388466,35.5,6.5,9,9,0,3.49,3.49,0,0,3,1.3,2.2,3.09,0,0.34,0.06,0
PMLIZA2,LIZA,PSEMEN,40,789,1394.7,E,4.3,59.9,1060,14.87439459,48.6,21.3,2,2,0,0.34,0.34,0,0,1,0.06,0.28,0.06,0,0.28,0,0
PMLIZA3,LIZA,PSEMEN,40,789,1404.7,E,5.1,75.4,880,15.76832272,40.8,36,9,8,1,4.72,2.76,1.96,0,6,1.41,3.32,4.26,0,0.4,0.06,0
PMLIZA4,LIZA,PSEMEN,40,790,1368.7,NW,9.4,81.4,1240,15.53561887,33.2,57.3,2,2,0,0.12,0.12,0,0,1,0.12,0,0.12,0,0,0,0
PMLIZA5,LIZA,PSEMEN,40,793,1397.2,N,6.8,62.2,780,15.2950378,66.6,83.7,4,4,0,2.75,2.75,0,0,2,0.9,1.86,2.41,0,0.06,0.28,0
PMLIZA6,LIZA,PSEMEN,40,795,1375.5,NW,14.8,48.3,980,14.29850647,72.2,53.6,4,4,0,3.09,3.09,0,0,4,0.96,2.14,2.48,0,0.34,0.28,0
PMLIZA7,LIZA,PSEMEN,40,804,1362.5,SE,11.8,82.1,1100,15.05928352,15.2,20.4,1,1,0,0.06,0.06,0,0,1,0.06,0,0.06,0,0,0,0
PMLIZA8,LIZA,PSEMEN,40,766,1387.1,SE,14.6,61.7,800,22.14353076,70,81.2,6,6,0,2.26,2.26,0,0,3,1.36,0.9,1.36,0,0.9,0,0
PMLIZA9,LIZA,PSEMEN,40,772,1416.5,S,12.5,75.7,1000,20.28808864,57.7,115.4,10,10,0,2.92,2.92,0,0,4,1.81,1.12,1.81,0,0.84,0.28,0
PMLIZA10,LIZA,PSEMEN,40,779,1328.6,W,20.5,57.4,780,19.55011506,51.9,141.1,4,4,0,0.68,0.68,0,0,3,0.4,0.28,0.4,0,0.28,0,0
PMLIZA11,LIZA,PSEMEN,40,787,1356.7,SE,14.6,51.4,1140,18.25422177,46.3,133.9,9,9,0,6.93,6.93,0,0,6,3.99,2.93,5.56,0,0.62,0.75,0
PMLIZA12,LIZA,PSEMEN,40,791,1430.6,SE,1.7,66.4,1220,16.78082115,48.7,141.9,4,4,0,0.68,0.68,0,0,3,0.12,0.56,0.12,0,0.28,0.28,0
PMLIZA13,LIZA,PSEMEN,40,791,1382.7,NE,15.2,56.7,1180,18.88225203,43.5,80.4,5,5,0,1.36,1.36,0,0,4,0.46,0.9,1.36,0,0,0,0
PMLIZA14,LIZA,PSEMEN,40,793,1394.3,W,13.1,62.9,840,14.99039229,66.1,48.8,10,10,0,4.97,4.97,0,0,4,2.83,2.14,4.35,0,0.34,0.28,0
PMLIZA15,LIZA,PSEMEN,40,749,1372.8,S,4.1,61.7,1120,18.43840927,65,64.1,10,10,0,6.8,6.8,0,0,5,3.22,3.58,4.93,0,1.12,0.75,0
PMLAKE1,LAKE,PSEMEN,52,740,1349.4,NE,5.3,56.3,460,33.1,90.9,18.7,9,9,0,5.77,5.77,0,0,8,3.14,2.63,4.04,0,1.46,0.28,0
PMLAKE2,LAKE,PSEMEN,52,712,1384.5,E,15.8,46.8,200,34.1,50.4,10.6,11,11,0,10.71,10.71,0,0,8,3.96,6.75,6.66,0,3.3,0.75,0
PMLAKE3,LAKE,PSEMEN,52,738,1393.4,N,11.5,72.3,260,36.7,70.1,8.5,13,13,0,8.73,8.73,0,0,10,2.64,6.09,2.86,0,4.44,1.37,0.06
PMLAKE4,LAKE,PSEMEN,52,746,1263.8,NW,20.3,63,340,34.6,53.1,34.8,14,14,0,6.58,6.58,0,0,14,2.92,3.67,2.23,0,2.57,1.03,0.75
PMLAKE5,LAKE,PSEMEN,52,738,1302.7,N,23.4,82.9,380,35,91,29,16,16,0,12.16,12.16,0,0,9,6.42,5.75,7.64,0.28,3.15,1.03,0.06
PMLAKE6,LAKE,PSEMEN,52,716,1391.4,E,15.8,63.2,200,37.1,87.6,50.1,11,11,0,9.42,9.42,0,0,7,2.91,6.52,4.7,0,3.63,1.09,0
PMLAKE7,LAKE,PSEMEN,52,716,1298.5,NW,22.9,73.2,260,36.8,82.7,39.1,14,14,0,11.26,11.26,0,0,10,5.1,6.16,5.1,0,3.27,1.99,0.9
PMLAKE8,LAKE,PSEMEN,52,735,1310.7,S,9.1,54.7,320,33.6,72.5,68.8,12,12,0,9.41,9.41,0,0,7,4.18,5.23,5.97,0,2.68,0.75,0
PMLAKE9,LAKE,PSEMEN,52,736,1422.5,SE,16.8,56.6,320,32,88,95.4,10,9,1,5.34,5.06,0.28,0.28,10,2.88,2.46,4.44,0.28,0.34,0.28,0
PMLAKE10,LAKE,PSEMEN,52,713,1310.8,W,27.6,69.5,340,34,88.8,18.5,14,13,1,12.55,11.79,0.75,0.75,10,4.46,8.09,5.94,1.56,3.87,1.18,0
PMLAKE11,LAKE,PSEMEN,52,718,1333.8,NW,24.2,55.8,320,34,38.7,29.4,18,17,1,12.67,12.61,0.06,0.06,9,4.69,7.98,6.43,0.28,2.96,2.72,0.28
PMLAKE12,LAKE,PSEMEN,52,731,1428.5,W,6.7,62,200,36.3,78.4,74,13,13,0,8.91,8.91,0,0,8,4.18,4.73,6.3,0.28,0.9,1.37,0.06
PMLAKE13,LAKE,PSEMEN,52,712,1381.8,W,11.8,78,300,36.8,82,112.7,17,17,0,8.73,8.73,0,0,13,5.21,3.52,5.21,0.28,1.59,1.65,0
PMLAKE14,LAKE,PSEMEN,52,703,1429.5,E,11.4,59.4,260,35,58.9,125.1,9,9,0,6.97,6.97,0,0,6,1.9,5.07,2.18,0,3.49,1.3,0
PMLAKE15,LAKE,PSEMEN,52,710,1423.4,E,8.2,66.6,320,33.4,76.4,26.5,12,12,0,7.83,7.83,0,0,12,3.78,4.05,4.53,0,1.03,1.99,0.28
PMTONO1,TONO,PSEMEN,42,722,1365.4,W,7.7,22.2,160,28.3,48.2,34.6,14,13,1,15.18,13.42,1.76,1.76,6,10.4,4.78,13.45,0.9,0.28,0.28,0.28
PMTONO2,TONO,PSEMEN,42,681,1097.7,S,36.6,36.2,280,30.7,67.6,26.1,7,7,0,5.7,5.7,0,0,3,5.7,0,5.7,0,0,0,0
PMTONO3,TONO,PSEMEN,42,695,1180.8,E,33,27.8,160,32.7,81.8,20.4,8,8,0,8.49,8.49,0,0,6,6.1,2.39,6.1,0,2.39,0,0
PMTONO4,TONO,PSEMEN,42,678,1187.1,SE,32.1,17.4,140,29.5,91.7,17.7,8,8,0,9.2,9.2,0,0,6,6.92,2.32,7.19,0,2.04,0,0
PMTONO5,TONO,PSEMEN,42,682,1171,N,36.6,26.8,160,31.9,83.6,80.5,9,9,0,10.07,10.07,0,0,6,6.89,3.19,8.45,0,1.62,0,0
PMTONO6,TONO,PSEMEN,42,647,1306.8,NW,26.4,36.6,220,33,61.3,46.4,12,12,0,10.51,10.51,0,0,6,6.53,3.98,8.33,0,1.9,0.28,0
PMTONO7,TONO,PSEMEN,42,625,1336.5,W,30.1,33.8,260,30.1,89.5,25.8,5,5,0,6.61,6.61,0,0,4,6.06,0.56,6.33,0,0.28,0,0
PMTONO8,TONO,PSEMEN,42,710,1189.1,E,30.4,22.2,160,29.6,57.6,28.7,9,9,0,10.42,10.42,0,0,4,6.92,3.51,6.92,0,3.45,0.06,0
PMTONO9,TONO,PSEMEN,42,637,1266.4,SW,33.7,28.2,260,31.9,81.6,17.6,8,8,0,7.99,7.99,0,0,6,6.25,1.73,6.25,0,1.73,0,0
PMTONO10,TONO,PSEMEN,42,710,1242.4,SW,29.4,50.6,320,32.7,91.6,90.8,5,5,0,7.25,7.25,0,0,4,6.98,0.28,6.98,0,0.28,0,0
PMTONO11,TONO,PSEMEN,42,670,1124,W,31.6,38.8,240,32,79.7,48.6,10,10,0,7.87,7.87,0,0,4,6.52,1.36,7.47,0,0.12,0.28,0
PMTONO12,TONO,PSEMEN,42,634,1138.5,S,20.2,39.5,340,31.2,59.8,8.1,21,20,1,12.4,12.34,0.06,0.06,14,10.04,2.36,10.97,0.75,0.12,0.28,0.28
PMTONO13,TONO,PSEMEN,42,708,1170.6,S,26.9,29.5,260,30,81.7,6.4,7,7,0,11.85,11.85,0,0,4,7.69,4.16,9.75,0,2.1,0,0
PMTONO14,TONO,PSEMEN,42,669,1203.8,SE,37.2,31.5,200,32.9,77.9,22.6,8,8,0,11.91,11.91,0,0,5,7.31,4.6,9.35,0,2.56,0,0
PMTONO15,TONO,PSEMEN,42,638,1222.6,SE,26.9,32.2,200,31.7,57.2,15.9,8,8,0,8.94,8.94,0,0,6,6.57,2.38,6.57,0,2.1,0,0.28
PMALEN1,ALEN,PSEMEN,64,489,1431.8,NE,5.2,61.9,220,40.7,66.1,68.8,14,14,0,8.96,8.96,0,0,6,5.95,3.01,8.34,0,0.62,0,0
PMALEN2,ALEN,PSEMEN,64,488,1436.2,SW,3.6,69.5,260,40.4,57.6,80.1,13,12,1,9.2,9.14,0.06,0,7,6.36,2.84,7.65,0.06,1.31,0.12,0.06
PMALEN3,ALEN,PSEMEN,64,486,1436.1,NE,2.9,79,280,41.3,65.1,85.9,19,19,0,12.65,12.65,0,0,12,8.87,3.78,10.49,0,1.3,0.34,0.52
PMALEN4,ALEN,PSEMEN,64,485,1436.4,N,2.5,75.5,280,40.1,81,79,12,12,0,10.49,10.49,0,0,10,8.76,1.73,9.88,0,0.28,0,0.34
PMALEN5,ALEN,PSEMEN,64,484,1437,N,2,38.5,160,38.7,78.1,84.5,19,18,1,15.5,15.44,0.06,0,13,9.03,6.47,10.7,0.06,2.2,0.56,1.99
PMALEN6,ALEN,PSEMEN,64,486,1435.9,N,3.3,46.3,140,42.1,63.2,129.6,16,16,0,12.66,12.66,0,0,8,8.69,3.97,8.97,0,2.21,0.28,1.21
PMALEN7,ALEN,PSEMEN,64,485,1436.3,SE,2.7,89.1,300,43.6,65.5,135.5,15,15,0,11.91,11.91,0,0,9,9.51,2.4,10.01,0,1.78,0,0.12
PMALEN8,ALEN,PSEMEN,64,484,1435.8,W,2.4,68.9,260,41.2,55.5,128.9,11,11,0,11.53,11.53,0,0,10,8.57,2.96,9.74,0,1.78,0,0
PMALEN9,ALEN,PSEMEN,64,483,1436.9,S,2.2,69.3,320,40,64.9,134.4,16,16,0,14.04,14.04,0,0,7,9.88,4.17,9.6,0,3.27,0,1.18
PMALEN10,ALEN,PSEMEN,64,482,1434.9,SE,1.1,54.2,180,40,68.7,119.5,20,19,1,20.01,19.73,0.28,0,10,13.75,6.27,16.29,0.28,2.83,0.28,0.34
PMALEN11,ALEN,PSEMEN,64,488,1411.5,W,2.1,113.1,280,44.9,59.1,177.4,17,17,0,12.53,12.53,0,0,12,9.17,3.36,10.13,0,1.78,0.34,0.28
PMALEN12,ALEN,PSEMEN,64,484,1435.6,NE,2.4,69.5,300,40.4,68.3,184,16,16,0,12.56,12.56,0,0,7,8.9,3.66,9.79,0,2.21,0,0.56
PMALEN13,ALEN,PSEMEN,64,483,1436.7,NE,2.4,46.9,180,38.9,73.4,178.9,16,16,0,17.41,17.41,0,0,9,12.76,4.66,13.82,0,1.73,0.06,1.8
PMALEN14,ALEN,PSEMEN,64,482,1434.1,SE,2.3,63.2,260,41.5,88.5,184,13,13,0,11.87,11.87,0,0,7,9.67,2.2,9.67,0,1.31,0.28,0.61
PMALEN15,ALEN,PSEMEN,64,481,1436.9,S,2,78.9,280,40.8,68.9,158.4,22,21,1,18.26,17.37,0.9,0,8,13.23,5.04,13.98,0.9,2.49,0.56,0.34
PRROCK1,ROCK,PINRAD,53,726,1271,N,30.3,30.1,300,26.2,52.7,26.1,13,12,1,17.17,15.12,2.05,2.05,10,9.3,7.86,14.43,0.9,0,1.84,0
PRROCK2,ROCK,PINRAD,53,714,1057.9,E,39.4,39.6,360,27,36.9,6.1,20,18,2,18.12,14.36,3.76,3.76,9,8.13,9.99,14.59,1.18,1.18,1.18,0
PRROCK3,ROCK,PINRAD,53,763,1195.2,W,27.6,92.9,260,30.5,50.3,12.8,13,12,1,15.36,13.48,1.88,1.88,7,4.53,10.83,12.56,0.9,0.34,1.56,0
PRROCK4,ROCK,PINRAD,53,727,1205.1,SW,33.8,23.4,220,24.9,42.3,9.7,19,17,2,19.68,16.73,2.95,2.95,9,8.67,11,16.31,0.9,1.3,1.18,0
PRROCK5,ROCK,PINRAD,53,751,1289.9,SE,7.9,96.5,500,30.5,58.9,42.4,13,12,1,14.49,11.73,2.76,2.76,8,5.95,8.54,13.42,0,0,1.07,0
PRROCK6,ROCK,PINRAD,53,756,1045.5,SE,38.5,69,280,29.5,60.2,14.7,18,17,1,24.29,22.41,1.88,1.88,11,11.68,12.62,18.62,1.52,2.98,1.18,0
PRROCK7,ROCK,PINRAD,53,767,1204.8,W,34.3,79.7,320,31,62,70,8,8,0,5.53,5.53,0,0,5,1.58,3.95,5.47,0,0.06,0,0
PRROCK8,ROCK,PINRAD,53,792,1218.7,S,26.8,30.6,220,23.8,22.3,90.5,15,13,2,17.09,12.15,4.95,4.95,11,5.31,11.78,13.63,1.56,0.28,1.56,0.06
PRROCK9,ROCK,PINRAD,53,774,1041.2,S,42.2,32.5,180,26,51.2,21.7,15,14,1,16.57,13.92,2.65,2.65,9,7.41,9.16,12.81,1.96,0.34,1.46,0
PRROCK10,ROCK,PINRAD,53,787,1179.5,N,37.2,67.4,180,32.4,64.4,81.1,13,11,2,16.26,11.73,4.53,4.53,9,6.94,9.31,15.36,0.9,0,0,0
PRROCK11,ROCK,PINRAD,53,793,1193,S,37.3,74.1,300,30.1,74.5,74.1,10,9,1,10.72,9.15,1.57,1.57,4,1.46,9.26,6.75,0.9,3.07,0,0
PRROCK12,ROCK,PINRAD,53,794,1209.8,SW,36.6,69.3,200,30.6,76.6,116.1,14,14,0,13.27,13.27,0,0,7,6.1,7.17,11.42,0,1.86,0,0
PRROCK13,ROCK,PINRAD,53,825,998,SE,39.9,37.7,300,23.5,57.2,90.4,9,7,2,13.1,7.69,5.41,5.41,4,4.16,8.94,10.64,0.9,0,1.56,0
PRROCK14,ROCK,PINRAD,53,772,1217.7,E,35.1,67.8,320,28.8,59,13.8,12,10,2,12.99,8.66,4.32,4.32,6,5.03,7.96,9.97,1.18,0.28,1.56,0
PRROCK15,ROCK,PINRAD,53,783,910.6,E,37.6,69.4,240,33.3,33.4,33.4,14,12,2,18.26,14.81,3.45,3.45,6,11.18,7.08,15.01,1.8,0,1.46,0
PR1BECH1,BEC1,PINRAD,54,819,1217.2,NE,33.9,132,320,36.4,55.5,14.9,15,14,1,16.35,14.3,2.05,2.05,9,7.56,8.79,14.56,0.9,0,0.9,0
PR1BECH2,BEC1,PINRAD,54,818,1261.3,E,33,158.9,420,41.9,92.4,4.1,15,14,1,18.01,15.42,2.59,2.59,11,9.26,8.74,15.2,0.28,0.34,1.91,0
PR1BECH3,BEC1,PINRAD,54,791,1025.1,S,41.2,98.9,220,38.7,74.7,19.5,9,9,0,9.91,9.91,0,0,9,5.33,4.58,8,0,0,1.91,0
PR1BECH4,BEC1,PINRAD,54,752,1096.5,E,43.2,62.2,180,39,68.1,33.7,9,9,0,10.46,10.46,0,0,4,5.74,4.72,8.45,0,2.01,0,0
PR1BECH5,BEC1,PINRAD,54,713,1130,N,40.7,71.3,140,39.8,79.3,27.5,7,7,0,9.71,9.71,0,0,4,4.25,5.46,6.68,0,3.03,0,0
PR1BECH6,BEC1,PINRAD,54,680,1157.3,NW,31.1,124.2,240,42.2,80.7,8.1,9,9,0,10.26,10.26,0,0,7,7.31,2.95,7.31,0,2.95,0,0
PR1BECH7,BEC1,PINRAD,54,784,1116.8,E,28.5,59.7,400,32.7,78.3,27.9,14,13,1,19.67,17.79,1.88,1.88,11,9.41,10.26,14.12,0,5.55,0,0
PR1BECH8,BEC1,PINRAD,54,790,1021.5,W,38.3,78.8,440,36.7,81.9,54,19,18,1,22.6,20.72,1.88,1.88,13,10.73,11.04,17.86,0,2.34,1.56,0
PR1BECH9,BEC1,PINRAD,54,756,1148.1,E,37.8,116.9,260,42.3,56.5,83,11,11,0,8.95,8.95,0,0,7,4.06,4.9,6.27,0.28,2.12,0.28,0
PR1BECH10,BEC1,PINRAD,54,724,1107,E,44.3,101.7,300,37.8,95.5,71.6,11,11,0,9.37,9.37,0,0,8,4.34,5.02,6.95,0.06,2.07,0.28,0
PR1BECH11,BEC1,PINRAD,54,745,1073.7,S,43.2,34.6,160,33.2,84.1,23.6,13,12,1,13.61,11.73,1.88,1.88,7,6.49,7.11,11.32,0,1.39,0.9,0
PR1BECH12,BEC1,PINRAD,54,751,1048.7,S,43.3,68.7,400,33.1,90.5,71.7,9,9,0,10.68,10.38,0,0,9,4.63,5.75,9.55,0,0.84,0,0
PR1BECH13,BEC1,PINRAD,54,705,1121.8,SE,36.6,42.1,140,35.6,66.5,17.6,11,11,0,14.91,14.91,0,0,7,10.12,4.79,12.48,0,2.43,0,0
PR1BECH14,BEC1,PINRAD,54,711,1118.4,E,41.9,77.2,280,35.9,81.4,67.6,8,8,0,12.81,12.81,0,0,6,8.39,4.41,10.83,0,1.98,0,0
PR1BECH15,BEC1,PINRAD,54,677,1196.5,W,34.1,89.5,200,40.3,61.6,32.3,8,8,0,9.74,9.74,0,0,7,6.98,2.76,9.18,0,0.56,0,0
PR2BECH1,BEC2,PINRAD,53,752,1126,S,40.2,36.4,240,27.2,55.6,14.2,16,14,2,18.42,15.65,2.78,2.78,5,6.88,11.55,17.13,0.9,0.06,0.34,0
PR2BECH2,BEC2,PINRAD,53,781,1186.5,S,34.5,26.2,200,25.9,4.6,54,11,9,2,12.29,7.87,4.42,4.42,9,3.19,9.1,11.73,0.28,0.28,0,0
PR2BECH3,BEC2,PINRAD,53,810,1162.2,NE,33.4,95.3,940,26.4,36.5,96.1,13,11,2,12.2,9.08,3.12,3.12,10,3.15,9.05,11.18,0.9,0.06,0.06,0
PR2BECH4,BEC2,PINRAD,53,836,1369.3,SW,17,144.8,1160,29.1,65.4,102,6,6,0,4.51,4.51,0,0,6,2.93,1.58,4.51,0,0,0,0
PR2BECH5,BEC2,PINRAD,53,847,1399.4,W,12.4,86.7,280,31,32,61.8,13,11,2,16.7,11.52,5.18,5.18,9,3.66,13.04,16.36,0,0.06,0.28,0
PR2BECH6,BEC2,PINRAD,53,771,1049.4,E,45.8,18.3,160,24.7,31.8,51.7,13,11,2,13.94,8.82,5.12,5.12,14,4.64,9.3,12.04,1.56,0,0.34,0
PR2BECH7,BEC2,PINRAD,53,810,1224.7,S,30.1,78.2,500,29,43.6,94.8,14,12,2,16.73,12.05,4.68,4.68,12,6.58,10.15,15.04,1.62,0,0.06,0
PR2BECH8,BEC2,PINRAD,53,827,1299.2,N,25.8,108.8,840,30,55.9,123,7,5,2,6.75,4.27,2.48,2.48,4,2.75,4,6.75,0,0,0,0
PR2BECH9,BEC2,PINRAD,53,836,1190.1,S,27.4,143.5,860,31.1,50.5,86.1,7,6,1,5.6,3.01,2.59,2.59,4,1.75,3.85,5.54,0,0.06,0,0
PR2BECH10,BEC2,PINRAD,53,747,1163.6,SE,31.5,51.7,340,29.1,70.7,8.7,13,12,1,13.8,11.75,2.05,2.05,8,6.56,7.24,13.46,0,0.06,0.28,0
PR2BECH11,BEC2,PINRAD,53,774,1210.6,S,30.7,55.2,360,27.2,65.9,50.8,11,10,1,10.2,8.32,1.88,1.88,8,4.37,5.83,10.14,0,0,0.06,0
PR2BECH12,BEC2,PINRAD,53,810,1305.5,S,25.6,44.1,180,30.2,10.3,98.1,13,12,1,14.8,12.75,2.05,2.05,8,8.36,6.43,13.84,0.9,0,0.06,0
PR2BECH13,BEC2,PINRAD,53,808,1225.8,E,28.9,112.9,360,34.2,90.3,66.3,5,5,0,6.47,6.47,0,0,3,4.15,2.32,6.47,0,0,0,0
PR2BECH14,BEC2,PINRAD,53,766,1187.9,NE,37.1,67.2,440,29.7,73.5,22,11,10,1,11.12,8.53,2.59,2.59,7,3.28,7.84,9.36,0.85,0,0.9,0
PR2BECH15,BEC2,PINRAD,53,768,1104.6,NE,38.9,43.2,420,26.7,78.1,25.8,11,9,2,12.63,9.94,2.69,2.69,10,5.15,7.48,10,1.07,0,1.56,0
